Age,Growth,Shoe size,Course number,Year of birth,Friend number,Russian rating,Maths rating,Physics rating,Computer science rating,Chemistry rating,Literature rating,History rating,Geography rating,Biology rating,Foreign language rating,Social science rating,Distance to home km,Minutes to first class,Children number,Removed teeth,Weight,Glasses,Sex,Problems in last semester,Coin,Rock paper scissors,Animal,Month of birthday,Your rating in university,Fastfood,Height of 5000 mm,Width of 5000 mm,Putin age,Army,Hostel,Hair length,Floor number,Social network duration min,Chocolate,City population,Strange people,Your insitute,Brother-sister,Plane seat,MIddle and index finger,Middle and ring finger,Middle and little finger
21,181,42,7,2001,30,82,72,0,73,0,0,0,0,0,0,0,2200,140,0,3,68,нет,мужской,нет,Орел,Бумага,Кошек,4,выше средней по университету,Макдональдс (или как он там сейчас называется?),45,105,61,могут призвать,нет,2,11,120,Натс,800000,Естественный (биология-химия-физика-технари),Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),5,10,30
20,183,44,3,2002,361,67,74,58,72,0,0,0,0,0,0,0,0,70,0,0,72,нет,мужской,да,Орел,Бумага,Собак,6,ниже средней по университету,KFC,60,150,63,не призовут (по разным причинам),нет,17,4,1000,Милки Вей,1150000,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),15,7,30
18,180,42,1,2003,120,86,82,0,93,0,0,0,0,0,94,0,0,50,0,0,62,да,мужской,нет,Орел,Камень,Кошек,10,выше средней по университету,KFC,50,100,71,могут призвать,нет,5,3,10,M&Ms,800000,Естественный (биология-химия-физика-технари),Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),15,18,50
18,159,35,1,2004,92,92,92,0,90,0,0,0,0,0,0,0,0,45,0,0,,да,женский,нет,Орел,Камень,Кошек,4,выше средней по университету,Бургер кинг,150,280,67,не призовут (по разным причинам),нет,25,6,256,КитКат,873711,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),9,8,22
18,176,42,1,2003,266,73,78,0,75,0,0,0,0,0,0,0,0,120,,,58,да,мужской,нет,Орел,Ножницы,Собак,10,выше средней по университету,Макдональдс (или как он там сейчас называется?),58,110,69,не призовут (по разным причинам),нет,10,8,560,Сникерс,796000,Математический и ИТ,Математический и ИТ,есть и брат и сестра,У окна (пардон: у иллюминатора),12,10,35
19,172,38,3,2002,130,89,82,62,84,0,0,0,0,0,0,0,0,120,3,0,62,да,женский,нет,Орел,Камень,Кошек,8,выше средней по университету,Макдональдс (или как он там сейчас называется?),75,160,70,не призовут (по разным причинам),нет,55,2,400,КитКат,820000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),11,8,40
22,178,42,7,2000,123,80,90,76,0,0,0,0,0,0,0,0,0,100,2,0,70,нет,мужской,нет,Орел,Ножницы,Кошек,2,выше средней по университету,Макдональдс (или как он там сейчас называется?),50,100,83,не призовут (по разным причинам),нет,20,9,200,Твикс,700000,Естественный (биология-химия-физика-технари),Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),10,8,30
18,175,41,2,2003,50,71,70,0,0,60,0,0,0,78,0,0,1000,15,2,0,75,нет,женский,нет,Орел,Ножницы,Ненавижу этих животных,10,ниже средней по университету,KFC,70,185,70,не призовут (по разным причинам),нет,43,4,180,Натс,700000,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),8,11,36
19,163,35,2,2002,55,98,84,0,96,0,0,0,0,0,0,0,1005,60,0,0,53,да,женский,нет,Орел,Камень,Собак,10,выше средней по университету,KFC,50,100,69,не призовут (по разным причинам),нет,55,14,240,Твикс,1300000,Естественный (биология-химия-физика-технари),Математический и ИТ,есть брат,У прохода,6,5,15
19,156,37,2,2003,132,86,78,0,78,0,0,0,0,0,0,62,174,60,,,48,нет,женский,нет,Орел,Ножницы,Собак,6,выше средней по университету,Бургер кинг,60,180,60,не призовут (по разным причинам),нет,40,4,300,M&Ms,650000,Естественный (биология-химия-физика-технари),Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),11,15,42
21,167,39,4,2000,500,78,69,0,0,0,0,0,0,0,0,90,1200,30,2,2,,нет,женский,нет,Орел,Камень,Собак,8,выше средней по университету,KFC,50,120,68,не призовут (по разным причинам),нет,20,17,120,КитКат,900000,Педагогический,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),10,10,40
22,180,45,4,1999,118,81,76,74,78,0,0,0,0,0,0,0,250,30,3,0,92,да,мужской,нет,Решка,Ножницы,Кошек,12,выше средней по университету,KFC,100,140,70,могут призвать,нет,0.2,4,3,КитКат,700000,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),20,10,40
21,163,38,37,2001,66,94,74,64,81,0,0,0,0,0,0,0,0,60,,0,58,нет,женский,нет,Орел,Бумага,Кошек,1,выше средней по университету,KFC,50,140,60,не призовут (по разным причинам),нет,40,8,160,Милки Вей,800000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),11,7,30
19,169,41,1,2002,73,61,50,39,0,6,0,0,0,0,0,0,917,10,,,76,нет,мужской,да,Решка,Бумага,Собак,8,ниже средней по университету,Бургер кинг,76,185,72,не призовут (по разным причинам),нет,27,4,1080,Милки Вей,786893,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),10,8,24
23,169,40,4,1999,50,98,74,58,61,0,0,0,0,0,0,0,4000,40,0,0,65,нет,женский,да,Решка,Бумага,Кошек,1,выше средней по университету,KFC,115,199,80,не призовут (по разным причинам),нет,25,5,300,Баунти,700000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),13,17,33
21,170,42,3,2001,519,80,76,0,83,0,0,0,0,0,0,0,950,60,,0,63,нет,мужской,да,Орел,Ножницы,Кошек,6,выше средней по университету,Бургер кинг,80,200,65,могут призвать,нет,35,2,200,Твикс,800000,СоцГум,Математический и ИТ,есть сестра,У прохода,8,11,19
19,170,37,3,2003,150,82,78,0,0,0,0,0,0,0,0,54,0,90,2,0,53,нет,женский,нет,Орел,Бумага,Собак,3,выше средней по университету,Бургер кинг,60,140,70,не призовут (по разным причинам),нет,70,2,60,M&Ms,897433,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),10,15,40
18,182,43,2,2003,156,80,82,46,0,0,0,0,0,0,0,0,0,60,,,75,нет,мужской,нет,Орел,Ножницы,Собак,10,выше средней по университету,KFC,60,140,67,не призовут (по разным причинам),нет,7,1,90,Твикс,970000,Педагогический,Математический и ИТ,есть брат,В середине,15,4,29
19,187,44,2,2003,139,71,86,0,89,0,0,0,0,0,0,0,0,40,0,0,66,нет,мужской,да,Орел,Камень,Ненавижу этих животных,3,ниже средней по университету,KFC,55,135,66,могут призвать,нет,3,2,3600,Баунти,800000,Математический и ИТ,Математический и ИТ,есть сестра,У прохода,7,6,22
35,180,40,7,1986,100,51,61,0,0,0,0,0,0,0,0,0,20,90,3,2,78,да,женский,нет,Орел,Камень,Кошек,12,ниже средней по университету,Бургер кинг,55,110,69,не призовут (по разным причинам),нет,20,5,60,Сникерс,800000,Педагогический,Математический и ИТ,есть и брат и сестра,У окна (пардон: у иллюминатора),10,5,20
18,178,43,1,2003,130,82,84,0,63,0,0,0,0,0,0,0,1000,60,2,1,58,нет,мужской,нет,Орел,Ножницы,Собак,8,ниже средней по университету,Бургер кинг,60,180,65,не призовут (по разным причинам),нет,12,5,300,Баунти,800,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),10,8,20
18,166,39,2,2003,185,94,70,54,0,0,0,0,0,0,0,0,589,20,2,0,,нет,женский,нет,Орел,Бумага,Кошек,9,выше средней по университету,KFC,500,120,50,не призовут (по разным причинам),нет,50,9,30,Баунти,840000,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),10,8,35
22,178,43,7,2000,108,72,45,45,0,0,0,0,0,0,0,58,0,60,,1,78,,мужской,нет,Орел,Бумага,Собак,5,выше средней по университету,KFC,50,120,68,не призовут (по разным причинам),нет,6,15,150,КитКат,600000,Педагогический,Математический и ИТ,нет ни брата ни сестры,В середине,10,8,23
18,180,43,2,2004,153,61,62,56,55,0,0,0,0,0,0,66,1100,60,1,0,65,нет,мужской,нет,Орел,Камень,Кошек,2,выше средней по университету,KFC,60,150,68,не призовут (по разным причинам),нет,5,13,200,Сникерс,700000,Педагогический,Математический и ИТ,есть и брат и сестра,У окна (пардон: у иллюминатора),15,4,30
20,170,40,3,2001,145,91,84,47,0,0,0,0,0,0,0,71,20,90,3,0,,да,женский,нет,Орел,Камень,Собак,8,выше средней по университету,KFC,90,170,67,не призовут (по разным причинам),нет,90,2,1000,КитКат,9.3,Педагогический,Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),7,6,250
20,181,43,3,2001,102,80,68,0,62,0,0,0,0,0,0,0,800,72,2,0,105,нет,мужской,да,Орел,Бумага,Ненавижу этих животных,11,ниже средней по университету,KFC,40,100,68,не призовут (по разным причинам),нет,3.5,12,2,Баунти,988800,Математический и ИТ,Математический и ИТ,есть и брат и сестра,У прохода,4,3,27
20,163,37,2,2002,64,82,94,0,0,0,0,0,0,0,0,90,0,100,2,0,50,нет,женский,нет,Орел,Ножницы,Кошек,4,выше средней по университету,KFC,90,170,78,не призовут (по разным причинам),нет,60,9,450,КитКат,800000,Естественный (биология-химия-физика-технари),Математический и ИТ,есть и брат и сестра,У окна (пардон: у иллюминатора),15,13,25
20,175,41,2,2002,13,69,50,49,0,0,0,0,0,0,0,0,0,120,1,1,85,да,женский,да,Орел,Камень,Кошек,6,ниже средней по университету,Макдональдс (или как он там сейчас называется?),50,100,99,не призовут (по разным причинам),нет,17,6,600,Сникерс,850000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),10,15,30
19,166,41,3,2003,12,87,76,0,83,0,0,0,0,0,0,0,82,30,0,,83,нет,женский,нет,Орел,Ножницы,Собак,2,ниже средней по университету,Бургер кинг,70,230,62,не призовут (по разным причинам),нет,40,1,1080,Сникерс,800000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),12,12,40
19,187,44,2,2003,60,68,50,52,0,0,0,0,0,0,0,0,400,90,1,0,100,нет,мужской,нет,Орел,Камень,Кошек,2,выше средней по университету,KFC,45,45,68,не призовут (по разным причинам),нет,5,5,80,КитКат,800000,Экономический,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),7,11,26
18,168,39,2,2003,65,92,90,0,90,0,0,0,0,0,0,0,0,30,3,0,55,да,женский,нет,Решка,Ножницы,Кошек,11,выше средней по университету,KFC,81,140,69,не призовут (по разным причинам),нет,50,10,300,Твикс,790000,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),4,8,16
18,174,42,2,2003,90,59,72,78,95,0,0,0,0,0,0,0,300,30,0,0,60,да,мужской,нет,Орел,Ножницы,Собак,12,выше средней по университету,Бургер кинг,25,60,75,не призовут (по разным причинам),нет,4,14,10,Натс,1000000,СоцГум,Математический и ИТ,есть брат,В середине,12,5,20
20,184,45,3,2002,100,85,39,0,59,0,0,0,0,0,0,0,100,70,,,,нет,мужской,да,Решка,Бумага,Собак,1,ниже средней по университету,Бургер кинг,70,100,60,не призовут (по разным причинам),нет,20,3,60,Милки Вей,700000,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),5,3,8
21,174,41,3,2001,40,87,78,0,0,0,0,0,0,0,0,71,0,60,1,0,,нет,женский,нет,Решка,Камень,Кошек,2,выше средней по университету,Бургер кинг,950,1800,65,не призовут (по разным причинам),нет,50,2,300,Твикс,1000000,Педагогический,Математический и ИТ,нет ни брата ни сестры,У прохода,10,14,40
18,170,40,2,2003,102,74,76,60,78,0,0,0,0,0,0,0,900,10,0,0,64,да,мужской,нет,Орел,Камень,Кошек,10,выше средней по университету,Бургер кинг,50,130,70,не призовут (по разным причинам),да,5,7,20,Твикс,700000,Математический и ИТ,Естественный (биология-химия-физика-технари),есть брат,У окна (пардон: у иллюминатора),6,4,12
24,170,39,7,1998,130,70,76,71,0,0,0,0,0,0,0,0,15,60,1,0,62,да,женский,нет,Решка,Камень,Кошек,3,выше средней по университету,KFC,60,150,70,не призовут (по разным причинам),нет,90,11,200,Сникерс,700000,Математический и ИТ,Естественный (биология-химия-физика-технари),есть сестра,У прохода,8,13,40
